gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
yhdH											4.973195319549261e-10	6.0	-1.2777112015855685	7.885941341511416e-10	-1.2777112015855685	0.3272779007601574	-3.9040558455608263	9.45939382962637e-05	6.0	0.0001953925422805447
yhdP	0.0008430768067031255	5.0	0.47554457827773994	0.0019446327489857193	0.47554457827773994	0.048839955745886086	9.736793799568426	2.10078016360956e-22	5.0	4.509674751215189e-22	7.554237481975536e-31	10.0	-2.5081477612015193	2.627879124059319e-30	-2.5081477612015193	0.5263403175510725	-4.7652586692793975	1.8861152415704737e-06	10.0	4.775143665188999e-06
yhdX	0.0008680341468461678	2.0	0.4174450325886605	0.0019907905647041737	0.4174450325886605	0.1676640618750468	2.489770484623982	0.012782561190148383	2.0	0.012959649569356989	5.572525517357433e-35	4.0	-2.462128453503358	2.2733371144674074e-34	-2.462128453503358	0.8354362293419453	-2.9471171670909246	0.0032075164408324457	4.0	0.005108688563703851
yheO											1.86584919956941e-08	3.0	-3.112407402241841	2.740752302149829e-08	-3.112407402241841	0.34133093871916814	-9.118445031443782	7.620988794950877e-20	3.0	4.833807380543048e-19
yheS											5.467004454653091e-17	2.0	-1.4779367055258594	1.1738364827873563e-16	-1.4779367055258594	4.2834395094670796e-05	-34503.503604040285	0.0	2.0	0.0
yhfW											8.566380323015207e-08	3.0	-0.9796809505534566	1.2145855197324087e-07	-0.9796809505534566	0.0660622134967393	-14.829671891054813	9.419222141412487e-50	3.0	1.5655096059106866e-48
yhfX	0.0036868576937769174	2.0	0.3375603994987043	0.0063147243478519546	0.3375603994987043	0.04250541551929531	7.941585686780757	1.9961273731331295e-15	2.0	3.455661366391762e-15	1.8188236074436675e-20	3.0	-4.408615703415115	4.515613243929991e-20	-4.408615703415115	0.9275342208957571	-4.753049110314806	2.0037165272050297e-06	3.0	5.065734037088772e-06
yhgF	0.012264054078496536	2.0	0.38835128349819403	0.01587228863856867	0.38835128349819403	0.03447117537221603	11.26597162135665	1.932089122439988e-29	2.0	5.201778406569198e-29	2.358287337658564e-08	5.0	-1.9974417886989368	3.4304098631257067e-08	-1.9974417886989368	0.7461159432598313	-2.677119832035726	0.007425807089011254	5.0	0.011025081658209429
yhhI											0.00040315523584152294	2.0	-0.804866777512407	0.0004618147085740483	-0.804866777512407	0.3300598383564672	-2.4385480569833664	0.014746397807976333	2.0	0.020345721802703703
yhhJ											7.461723557568908e-05	3.0	-1.0217887431798778	8.983094423766726e-05	-1.0217887431798778	0.4421627419346096	-2.3108883817510515	0.020839020964019298	3.0	0.027667191294685384
