gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
lipA	0.003865811006595472	2.0	0.4665786532338284	0.006565354135673745	0.4665786532338284	0.013562198804096953	34.40287669967509	2.2837111284667283e-259	2.0	3.0639790973595273e-258	4.240536088538235e-63	7.0	-2.449249847674335	3.985215852840906e-62	-2.449249847674335	0.28098682845446576	-8.716600209149087	2.8668023386472116e-18	7.0	1.6871836714333592e-17
livH	7.261987819601968e-08	2.0	0.5330190629752611	1.2708478684303444e-06	0.5330190629752611	0.05555708810515083	9.594078472335264	8.46703194115544e-22	2.0	1.774989768914096e-21	3.079383229562835e-10	3.0	-1.160231532090567	4.917698306997588e-10	-1.160231532090567	0.6219881052325571	-1.8653596786336684	0.062131005190591344	3.0	0.07293993088104085
livK	0.03574874253666017	4.0	0.47951991336170663	0.03771656322675156	0.47951991336170663	0.09908780027630575	4.839343612680554	1.3026865100030254e-06	4.0	1.5864790326058026e-06										
lldD	0.014750171976418733	2.0	0.5412528313184546	0.018183596387468727	0.5412528313184546	0.15139286296648236	3.575154209470795	0.0003500215226150114	2.0	0.00037619135608155433	7.05769966019206e-10	2.0	-1.8316678151947035	1.1112781482495394e-09	-1.8316678151947035	0.9770075802447914	-1.874773391968745	0.06082390519926222	2.0	0.07168674315999717
lolE	0.01788844059891379	2.0	0.4465161663732905	0.021333621751297185	0.4465161663732905	0.09420118314055582	4.7400271576955895	2.1368957530431766e-06	2.0	2.573729718656303e-06	3.731750138921794e-46	12.0	-6.017516552051668	2.1538557875770482e-45	-6.017516552051668	0.8917819393276057	-6.7477443606772445	1.50161208954806e-11	12.0	5.950096469622004e-11
lplT	0.0008836094275176103	3.0	0.45773517559168303	0.002020754514635444	0.45773517559168303	0.0565113516964896	8.099880145321613	5.501335991423129e-16	3.0	9.669378762217508e-16										
lpoA	0.045864091308949154	2.0	0.4580643570674089	0.04661691098952534	0.4580643570674089	0.010502794972586632	43.613567461138075	0.0	2.0	0.0	3.7589541578942234e-17	4.0	-1.8180781134606352	8.119521917473081e-17	-1.8180781134606352	0.8511957796600008	-2.135910629381695	0.0326866990421275	4.0	0.041289672611272955
lsrD	8.503351674850327e-06	3.0	0.4951736504067321	4.305156036638059e-05	0.4951736504067321	0.024559220057252768	20.162433874218195	2.093277570327911e-90	3.0	1.3373717810428318e-89	9.000472274948717e-24	2.0	-3.565224995278226	2.4627816666970954e-23	-3.565224995278226	3.036202199916017	-1.1742383281906725	0.24029957783384426	2.0	0.2419168492494394
lsrF	0.028240475529230667	3.0	0.35662996953929244	0.031081205282419044	0.35662996953929244	0.025322649401495863	14.083438264490031	4.801564962477068e-45	3.0	1.8405999022828761e-44										
lsrK	0.01389383486456032	2.0	0.46334422561518995	0.0173672935807004	0.46334422561518995	0.004362869965949839	106.20170420649139	0.0	2.0	0.0	2.1105948562274082e-63	3.0	-4.298476936436098	2.0045067549884646e-62	-4.298476936436098	0.6415067651328564	-6.700594865193481	2.075727925498037e-11	3.0	8.153023252229708e-11
